unidade;setor_centro_custo;ano;mes;mp_setor_tasy
CHPB;CAC/CHPB/CHB;2024,0;9,0;1,0
CHPB;CAC/CHPB/CHB;2024,0;11,0;26,0
CHPB;CAC/CHPB/CHB;2025,0;1,0;13,0
CHPB;CAC/CHPB/CHB;2025,0;10,0;7,0
CHPB;CAC/CHPB/CHB;2026,0;2,0;1,6666666666666667
CHPB;CAC/CHPB/CHB;2026,0;6,0;4,5
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025,0;1,0;342,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025,0;5,0;315,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025,0;6,0;300,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2025,0;9,0;270,0
CHPB;LAR INCLUSIVO A/CHPB/CHB;2026,0;2,0;105,5
CHPB;LAR INCLUSIVO A/CHPB/CHB;2026,0;5,0;20,714285714285715
CHPB;LAR INCLUSIVO B/CHPB/CHB;2024,0;11,0;195,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2024,0;12,0;407,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2025,0;1,0;96,25
CHPB;LAR INCLUSIVO B/CHPB/CHB;2025,0;3,0;183,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2025,0;4,0;310,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2025,0;5,0;304,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2026,0;3,0;244,0
CHPB;LAR INCLUSIVO B/CHPB/CHB;2026,0;5,0;23,5
CHPB;UIP-FEMININA/CHPB/CHB;2024,0;7,0;5,214285714285714
CHPB;UIP-FEMININA/CHPB/CHB;2024,0;10,0;329,0
CHPB;UIP-FEMININA/CHPB/CHB;2025,0;1,0;28,375
CHPB;UIP-FEMININA/CHPB/CHB;2025,0;2,0;27,666666666666668
CHPB;UIP-FEMININA/CHPB/CHB;2025,0;3,0;36,54545454545455
CHPB;UIP-FEMININA/CHPB/CHB;2025,0;4,0;18,923076923076923
CHPB;UIP-FEMININA/CHPB/CHB;2025,0;5,0;32,44444444444444
CHPB;UIP-FEMININA/CHPB/CHB;2025,0;6,0;30,363636363636363
CHPB;UIP-FEMININA/CHPB/CHB;2025,0;7,0;48,0
CHPB;UIP-FEMININA/CHPB/CHB;2025,0;8,0;23,714285714285715
CHPB;UIP-FEMININA/CHPB/CHB;2025,0;9,0;32,333333333333336
CHPB;UIP-FEMININA/CHPB/CHB;2025,0;10,0;33,125
CHPB;UIP-FEMININA/CHPB/CHB;2025,0;11,0;86,33333333333333
CHPB;UIP-FEMININA/CHPB/CHB;2025,0;12,0;23,727272727272727
CHPB;UIP-FEMININA/CHPB/CHB;2026,0;1,0;26,875
CHPB;UIP-FEMININA/CHPB/CHB;2026,0;2,0;18,8
CHPB;UIP-FEMININA/CHPB/CHB;2026,0;3,0;27,125
CHPB;UIP-FEMININA/CHPB/CHB;2026,0;4,0;22,142857142857142
CHPB;UIP-FEMININA/CHPB/CHB;2026,0;5,0;29,714285714285715
CHPB;UIP-FEMININA/CHPB/CHB;2026,0;6,0;31,833333333333332
CHPB;UIP-FEMININA/CHPB/CHB;2026,0;7,0;31,5
CHPB;UIP-MASCULINA/CHPB/CHB;2024,0;6,0;5,363636363636363
CHPB;UIP-MASCULINA/CHPB/CHB;2024,0;7,0;27,26923076923077
CHPB;UIP-MASCULINA/CHPB/CHB;2024,0;11,0;440,0
CHPB;UIP-MASCULINA/CHPB/CHB;2025,0;1,0;28,6
CHPB;UIP-MASCULINA/CHPB/CHB;2025,0;2,0;32,125
CHPB;UIP-MASCULINA/CHPB/CHB;2025,0;3,0;27,19047619047619
CHPB;UIP-MASCULINA/CHPB/CHB;2025,0;4,0;27,58823529411765
CHPB;UIP-MASCULINA/CHPB/CHB;2025,0;5,0;29,866666666666667
CHPB;UIP-MASCULINA/CHPB/CHB;2025,0;6,0;25,954545454545453
CHPB;UIP-MASCULINA/CHPB/CHB;2025,0;7,0;35,583333333333336
